epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.831,3.11485,3.24178,2.2643,0.09055,0.07753,0.04636,0.01639,2.62519,2.85099,1.9857,0.0700102,0.0033322,0.0033322
2,532.51,2.28766,2.29601,1.65079,0.15525,0.13805,0.13084,0.05717,2.23867,2.42195,1.71224,0.0399882,0.00664354,0.00664354
3,791.124,2.05892,1.95196,1.49684,0.20253,0.17623,0.14694,0.06822,2.1901,2.24533,1.67086,0.00994421,0.00993287,0.00993287
4,1049.08,1.90824,1.71954,1.40892,0.25861,0.19851,0.19554,0.09403,2.04372,2.0059,1.55036,0.009901,0.009901,0.009901
5,1307.36,1.80069,1.53664,1.34701,0.30318,0.24084,0.21691,0.10249,2.0586,1.98968,1.54994,0.009868,0.009868,0.009868
6,1565.92,1.73246,1.42975,1.30218,0.28026,0.35549,0.26301,0.12444,2.0848,1.80371,1.5426,0.009835,0.009835,0.009835
7,1823.69,1.68178,1.35609,1.27624,0.38571,0.33714,0.30074,0.15122,1.96545,1.72822,1.48037,0.009802,0.009802,0.009802
8,2081.46,1.64648,1.29953,1.24775,0.33161,0.35914,0.30765,0.1522,1.97701,1.73523,1.46721,0.009769,0.009769,0.009769
9,2339.13,1.62328,1.2646,1.23448,0.36219,0.35115,0.30925,0.15938,2.01471,1.75239,1.49042,0.009736,0.009736,0.009736
10,2597.4,1.60649,1.23162,1.21365,0.39845,0.36851,0.33788,0.1766,1.98014,1.70918,1.46253,0.009703,0.009703,0.009703
11,2854.3,1.588,1.21258,1.20355,0.51689,0.34459,0.36421,0.195,1.92253,1.65537,1.42415,0.00967,0.00967,0.00967
12,3111.64,1.5694,1.17958,1.18558,0.59207,0.35903,0.39256,0.2122,1.94804,1.70176,1.43043,0.009637,0.009637,0.009637
13,3369.19,1.55839,1.16801,1.1769,0.57533,0.37052,0.39721,0.2154,1.89525,1.67009,1.39468,0.009604,0.009604,0.009604
14,3625.85,1.54207,1.14764,1.16759,0.44499,0.39427,0.36201,0.19032,1.90588,1.63572,1.38416,0.009571,0.009571,0.009571
15,3883.8,1.53354,1.13056,1.15826,0.55791,0.37928,0.39885,0.21558,1.89353,1.56581,1.3844,0.009538,0.009538,0.009538
16,4141.33,1.52419,1.11481,1.14996,0.58742,0.37628,0.41332,0.22544,1.87422,1.56834,1.37153,0.009505,0.009505,0.009505
17,4398.64,1.51748,1.10329,1.14246,0.55258,0.36612,0.40372,0.21754,1.91917,1.62586,1.39012,0.009472,0.009472,0.009472
18,4656.33,1.50411,1.08466,1.13515,0.56263,0.41373,0.42147,0.22926,1.84841,1.54013,1.34723,0.009439,0.009439,0.009439
19,4913.29,1.49966,1.08152,1.12996,0.5124,0.42227,0.42694,0.22952,1.8539,1.51479,1.34875,0.009406,0.009406,0.009406
20,5170.38,1.48945,1.06819,1.12664,0.56891,0.40389,0.42916,0.23437,1.86028,1.61581,1.33816,0.009373,0.009373,0.009373
21,5427.63,1.48602,1.05776,1.11806,0.55294,0.41344,0.4198,0.22769,1.87653,1.56418,1.35453,0.00934,0.00934,0.00934
22,5683.85,1.47809,1.04812,1.11663,0.42102,0.40771,0.3864,0.20827,1.85982,1.61561,1.33193,0.009307,0.009307,0.009307
23,5940.69,1.47266,1.0442,1.1107,0.56661,0.40452,0.41258,0.22575,1.88021,1.56394,1.34237,0.009274,0.009274,0.009274
24,6196.98,1.46362,1.03186,1.10497,0.53705,0.42064,0.42184,0.22842,1.83321,1.50202,1.32177,0.009241,0.009241,0.009241
25,6453.45,1.45791,1.02688,1.10236,0.53201,0.41885,0.41848,0.22767,1.85929,1.57069,1.33191,0.009208,0.009208,0.009208
26,6709.87,1.45507,1.02003,1.09849,0.59661,0.41987,0.44781,0.24331,1.81357,1.48963,1.31376,0.009175,0.009175,0.009175
27,6966.52,1.44834,1.00916,1.09231,0.60778,0.42271,0.43213,0.2389,1.85543,1.51501,1.33677,0.009142,0.009142,0.009142
28,7223.02,1.44045,1.00291,1.08889,0.65115,0.39516,0.44385,0.24399,1.8561,1.49153,1.32002,0.009109,0.009109,0.009109
29,7480.4,1.4383,0.99848,1.08742,0.60316,0.4156,0.44158,0.24278,1.83807,1.56185,1.31172,0.009076,0.009076,0.009076
30,7737.76,1.44024,0.99495,1.08399,0.63917,0.39905,0.44421,0.24203,1.84256,1.54921,1.30862,0.009043,0.009043,0.009043
31,7994.8,1.43187,0.98751,1.07985,0.61889,0.39969,0.42698,0.23611,1.83281,1.61156,1.30906,0.00901,0.00901,0.00901
32,8252.23,1.42767,0.98127,1.07722,0.59638,0.39929,0.42212,0.22971,1.83039,1.59789,1.30709,0.008977,0.008977,0.008977
33,8510.13,1.42586,0.97508,1.07666,0.56967,0.42634,0.41849,0.22784,1.8439,1.58007,1.31831,0.008944,0.008944,0.008944
34,8767.1,1.41956,0.97072,1.071,0.56902,0.42661,0.42449,0.23294,1.83068,1.53947,1.30267,0.008911,0.008911,0.008911
35,9024.16,1.41722,0.96985,1.07138,0.58169,0.43216,0.43817,0.24275,1.80751,1.56246,1.28895,0.008878,0.008878,0.008878
