epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.199,3.4921,3.59326,2.67587,0.46155,0.05892,0.03035,0.01055,2.72802,3.15528,2.2316,0.0700204,0.00333107,0.00333107
2,334.14,2.36198,2.36474,1.76866,0.15776,0.12197,0.09841,0.03932,2.34644,2.47055,1.83204,0.0399984,0.00664241,0.00664241
3,534.365,2.06724,1.94218,1.54343,0.42992,0.1267,0.12548,0.05557,2.24205,2.38984,1.77787,0.00995442,0.00993175,0.00993175
4,694.281,1.888,1.66377,1.42341,0.21048,0.21196,0.17751,0.08496,2.07183,2.06162,1.60795,0.009901,0.009901,0.009901
5,861.488,1.76778,1.46927,1.34994,0.27512,0.21482,0.20246,0.09683,2.12485,1.90753,1.63431,0.009868,0.009868,0.009868
6,1030.02,1.69861,1.35236,1.30448,0.23259,0.28247,0.19701,0.09823,2.09631,2.18138,1.60007,0.009835,0.009835,0.009835
7,1192.67,1.64408,1.27267,1.27468,0.37969,0.31049,0.27797,0.13928,2.02255,1.80424,1.55273,0.009802,0.009802,0.009802
8,1354.7,1.59966,1.21131,1.24601,0.32383,0.30955,0.25391,0.12458,2.03843,1.8279,1.5691,0.009769,0.009769,0.009769
9,1516.16,1.58479,1.18155,1.23154,0.37873,0.347,0.30502,0.15373,1.97697,1.58635,1.49773,0.009736,0.009736,0.009736
10,1676.77,1.55179,1.13975,1.20653,0.46797,0.33027,0.32755,0.17092,1.95234,1.64856,1.50009,0.009703,0.009703,0.009703
11,1840.37,1.54432,1.12626,1.19573,0.48201,0.30726,0.3247,0.17373,1.95055,1.76252,1.47042,0.00967,0.00967,0.00967
12,1999.7,1.52205,1.09677,1.18109,0.45077,0.35883,0.34254,0.18546,1.95936,1.57627,1.48491,0.009637,0.009637,0.009637
13,2160.21,1.51217,1.08164,1.17004,0.51607,0.36558,0.36688,0.19733,1.90005,1.56965,1.44291,0.009604,0.009604,0.009604
14,2320.57,1.49613,1.06077,1.158,0.5171,0.35568,0.3558,0.18594,1.93942,1.60018,1.43973,0.009571,0.009571,0.009571
15,2481.74,1.48776,1.04799,1.15246,0.52118,0.35893,0.39373,0.21094,1.89109,1.49503,1.40947,0.009538,0.009538,0.009538
16,2643.49,1.47318,1.02755,1.13996,0.58107,0.36992,0.40207,0.22005,1.86628,1.58186,1.40517,0.009505,0.009505,0.009505
17,2801.99,1.46523,1.01779,1.13378,0.60367,0.36886,0.40009,0.21455,1.91046,1.62771,1.42773,0.009472,0.009472,0.009472
18,2961.44,1.46055,1.00728,1.12525,0.55898,0.36499,0.36911,0.20309,1.87374,1.59212,1.40551,0.009439,0.009439,0.009439
