                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6248,                 1.8035,                  1.175,                0.48811,                0.37344,                0.40057,                0.22079,                 1.7597,                 1.6166,                 1.2554,               0.070009,              0.0033324,              0.0033324
                      2,                 1.5168,                  1.273,                 1.1064,                0.50933,                 0.3916,                0.40593,                0.22719,                  1.796,                 1.6114,                 1.2782,               0.039987,              0.0066437,              0.0066437
                      3,                 1.5133,                  1.206,                 1.0973,                0.51993,                0.43232,                0.42757,                0.23317,                 1.7995,                 1.5178,                 1.2667,              0.0099428,               0.009933,               0.009933
                      4,                 1.4959,                 1.1576,                 1.0945,                0.51828,                0.41452,                 0.4241,                0.23628,                 1.7793,                 1.4719,                 1.2537,               0.009901,               0.009901,               0.009901
                      5,                 1.4637,                 1.0795,                 1.0783,                 0.6588,                0.41019,                0.47469,                0.27217,                 1.7559,                 1.4907,                 1.2524,               0.009868,               0.009868,               0.009868
                      6,                 1.4346,                 1.0326,                 1.0662,                0.56942,                0.43308,                0.47968,                0.26369,                  1.789,                 1.4431,                 1.2625,               0.009835,               0.009835,               0.009835
                      7,                 1.4167,                0.99807,                 1.0605,                0.57623,                0.43094,                0.47076,                0.26225,                  1.789,                 1.5314,                 1.2715,               0.009802,               0.009802,               0.009802
                      8,                 1.4022,                0.97442,                 1.0533,                0.63639,                0.42309,                0.47853,                0.27181,                 1.8285,                 1.5271,                 1.2753,               0.009769,               0.009769,               0.009769
                      9,                 1.3856,                0.94873,                 1.0456,                0.53599,                0.46275,                0.46276,                0.25591,                 1.7674,                 1.5083,                 1.2548,               0.009736,               0.009736,               0.009736
                     10,                 1.3731,                0.93116,                 1.0412,                0.59247,                0.45005,                0.47811,                0.26581,                 1.7658,                  1.463,                 1.2502,               0.009703,               0.009703,               0.009703
                     11,                 1.3733,                0.92426,                 1.0404,                0.66119,                0.49713,                0.54784,                0.29455,                 1.7804,                 1.4069,                  1.261,                0.00967,                0.00967,                0.00967
                     12,                 1.3592,                0.90719,                 1.0339,                0.62623,                 0.4738,                0.51222,                0.29604,                 1.7917,                 1.4958,                 1.2754,               0.009637,               0.009637,               0.009637
                     13,                 1.3506,                0.89242,                 1.0325,                0.53938,                0.47828,                0.48209,                0.26482,                 1.8052,                 1.5207,                  1.274,               0.009604,               0.009604,               0.009604
                     14,                  1.345,                0.88772,                 1.0296,                0.65273,                0.44526,                0.51745,                0.29327,                 1.8083,                 1.4406,                 1.2767,               0.009571,               0.009571,               0.009571
                     15,                 1.3393,                0.87652,                 1.0259,                0.65183,                0.48757,                0.54243,                0.30123,                 1.7756,                 1.4171,                   1.26,               0.009538,               0.009538,               0.009538
                     16,                 1.3346,                0.86925,                 1.0238,                0.55868,                0.48983,                0.52524,                0.28953,                 1.7761,                 1.4036,                 1.2548,               0.009505,               0.009505,               0.009505
                     17,                 1.3293,                0.86366,                 1.0219,                0.63707,                0.51213,                0.55693,                0.30252,                   1.81,                 1.3954,                  1.272,               0.009472,               0.009472,               0.009472
                     18,                 1.3222,                0.85544,                 1.0198,                0.66287,                0.46326,                0.52413,                0.29661,                 1.7828,                 1.4057,                 1.2605,               0.009439,               0.009439,               0.009439
                     19,                 1.3195,                0.85206,                 1.0183,                0.60197,                0.47198,                0.50222,                0.28323,                  1.797,                 1.3972,                 1.2646,               0.009406,               0.009406,               0.009406
                     20,                  1.316,                0.84366,                 1.0151,                0.65019,                0.48524,                0.54063,                0.30719,                 1.7825,                 1.3927,                 1.2602,               0.009373,               0.009373,               0.009373
                     21,                 1.3149,                0.84206,                 1.0157,                0.65083,                0.48794,                0.54805,                0.30549,                 1.7774,                 1.3541,                 1.2594,                0.00934,                0.00934,                0.00934
                     22,                 1.3094,                0.83392,                 1.0136,                0.67064,                0.46877,                0.54151,                0.30826,                 1.7798,                 1.3556,                 1.2542,               0.009307,               0.009307,               0.009307
                     23,                 1.3057,                0.83522,                 1.0123,                0.68691,                0.51475,                0.58151,                0.31032,                 1.8166,                 1.3431,                 1.2747,               0.009274,               0.009274,               0.009274
                     24,                    1.3,                0.82554,                 1.0094,                0.66713,                0.54341,                0.58704,                0.31644,                  1.753,                  1.303,                  1.238,               0.009241,               0.009241,               0.009241
                     25,                 1.3031,                0.82373,                 1.0105,                0.66885,                0.50364,                0.57322,                0.32159,                 1.7743,                 1.3091,                 1.2547,               0.009208,               0.009208,               0.009208
                     26,                 1.2981,                0.82142,                 1.0073,                0.66307,                0.50645,                0.56578,                0.31086,                  1.727,                 1.3679,                 1.2298,               0.009175,               0.009175,               0.009175
                     27,                 1.2895,                0.81416,                 1.0058,                0.58854,                0.51409,                 0.5336,                0.28919,                 1.7486,                 1.3012,                 1.2353,               0.009142,               0.009142,               0.009142
                     28,                 1.2938,                0.81484,                 1.0056,                0.64734,                 0.5176,                 0.5636,                 0.3134,                 1.7634,                 1.3154,                 1.2447,               0.009109,               0.009109,               0.009109
                     29,                 1.2899,                0.81027,                 1.0056,                0.59685,                0.49478,                0.52566,                0.29592,                 1.7755,                 1.3922,                 1.2483,               0.009076,               0.009076,               0.009076
                     30,                 1.2876,                0.80997,                  1.005,                0.63328,                0.50653,                0.55055,                0.30823,                 1.7684,                 1.3227,                  1.243,               0.009043,               0.009043,               0.009043
                     31,                 1.2876,                0.80473,                 1.0036,                0.66214,                0.53823,                0.58715,                0.32324,                 1.7536,                  1.306,                 1.2408,                0.00901,                0.00901,                0.00901
                     32,                 1.2857,                0.80424,                  1.002,                0.65442,                0.50179,                0.55261,                0.31448,                 1.7354,                  1.329,                 1.2337,               0.008977,               0.008977,               0.008977
                     33,                   1.28,                 0.7988,                 1.0011,                0.65773,                0.51033,                0.57032,                0.32213,                 1.7598,                 1.3072,                 1.2501,               0.008944,               0.008944,               0.008944
                     34,                 1.2799,                0.79882,                 1.0016,                0.70814,                0.49645,                 0.5838,                0.32709,                  1.757,                 1.2799,                  1.245,               0.008911,               0.008911,               0.008911
                     35,                 1.2818,                0.79829,                  1.002,                0.64819,                0.51043,                0.56849,                0.32236,                 1.7725,                 1.3102,                 1.2451,               0.008878,               0.008878,               0.008878
                     36,                 1.2808,                0.79551,                 1.0018,                0.65376,                0.50906,                0.56547,                0.31053,                 1.7679,                 1.3368,                 1.2448,               0.008845,               0.008845,               0.008845
                     37,                 1.2707,                0.78938,                0.99787,                0.66928,                0.50989,                0.57333,                0.31749,                  1.745,                 1.3052,                 1.2396,               0.008812,               0.008812,               0.008812
                     38,                 1.2732,                0.78778,                0.99819,                 0.6677,                0.51103,                 0.5745,                0.30839,                  1.753,                  1.299,                 1.2441,               0.008779,               0.008779,               0.008779
                     39,                  1.268,                 0.7868,                0.99669,                 0.6309,                0.52799,                 0.5709,                0.31119,                 1.7382,                  1.293,                 1.2375,               0.008746,               0.008746,               0.008746
                     40,                 1.2692,                  0.784,                0.99689,                0.64901,                0.53409,                0.58879,                0.32438,                 1.7305,                 1.2887,                 1.2343,               0.008713,               0.008713,               0.008713
                     41,                 1.2671,                0.78106,                0.99502,                0.67907,                0.51526,                0.58672,                0.31922,                 1.7577,                  1.331,                 1.2456,                0.00868,                0.00868,                0.00868
                     42,                 1.2652,                0.77902,                0.99478,                0.69442,                0.50682,                0.58915,                0.33122,                 1.7723,                 1.3178,                 1.2549,               0.008647,               0.008647,               0.008647
                     43,                 1.2666,                0.77859,                0.99488,                0.67333,                0.50306,                0.57644,                0.32601,                 1.7749,                 1.3029,                 1.2531,               0.008614,               0.008614,               0.008614
                     44,                 1.2636,                 0.7781,                0.99466,                0.69139,                 0.4814,                0.56236,                0.31869,                 1.7526,                 1.3032,                 1.2429,               0.008581,               0.008581,               0.008581
